article_id,year,author
1653,2009,Jeffrey T Runner
1653,2009,Rachel S Sussman
1653,2009,Michael K Tanenhaus
1654,2009,Rubi Hammer
1654,2009,Gil Diesendruck
1654,2009,Daphna Weinshall
1654,2009,Shaul Hochstein
1655,2009,Elizabeth B Liddle
1655,2009,Gaia Scerif
1655,2009,Christopher P Hollis
1655,2009,Martin J Batty
1655,2009,Madeleine J Groom
1655,2009,Mario Liotti
1655,2009,Peter F Liddle
1656,2009,Sharon Goldwater
1656,2009,Thomas L Griffiths
1656,2009,Mark Johnson
1657,2009,Kristin Shutts
1657,2009,Kirsten F Condry
1657,2009,Laurie R Santos
1657,2009,Elizabeth S Spelke
1658,2009,Régine Kolinsky
1658,2009,Pascale Lidji
1658,2009,Isabelle Peretz
1658,2009,Mireille Besson
1658,2009,José Morais
1659,2009,Jill A Warker
1659,2009,Ye Xu
1659,2009,Gary S Dell
1659,2009,Cynthia Fisher
1660,2009,J Isaiah Harbison
1660,2009,Michael R Dougherty
1660,2009,Eddy J Davelaar
1660,2009,Basma Fayyad
1661,2009,Jeong-Ah Shin
1661,2009,Kiel Christianson
1662,2009,Adam S Cohen
1662,2009,Tamsin C German
1663,2009,Joshua D Greene
1663,2009,Fiery A Cushman
1663,2009,Lisa E Stewart
1663,2009,Kelly Lowenberg
1663,2009,Leigh E Nystrom
1663,2009,Jonathan D Cohen
1664,2009,Erin E Hannon
1665,2009,David Barner
1665,2009,Shunji Inagaki
1665,2009,Peggy Li
1666,2009,Marci S DeCaro
1666,2009,Krista D Carlson
1666,2009,Robin D Thomas
1666,2009,Sian L Beilock
1667,2009,Angèle Brunellière
1667,2009,Sophie Dufour
1667,2009,Noël Nguyen
1667,2009,Ulrich Hans Frauenfelder
1668,2009,Tobias Richter
1668,2009,Rolf A Zwaan
1669,2009,Colin Dawson
1669,2009,LouAnn Gerken
1670,2009,Peter T Richtsmeier
1670,2009,LouAnn Gerken
1670,2009,Lisa Goffman
1670,2009,Tiffany Hogan
1671,2009,Sophie Forster
1671,2009,Nilli Lavie
1672,2009,Florencia Reali
1672,2009,Thomas L Griffiths
1673,2009,Christian Gerlach
1674,2009,Kristy vanMarle
1674,2009,Karen Wynn
1677,2009,Mary Hare
1677,2009,Michael Jones
1677,2009,Caroline Thomson
1677,2009,Sarah Kelly
1677,2009,Ken McRae
1678,2009,Alexandra Frischen
1678,2009,Daniel Loach
1678,2009,Steven P Tipper
1679,2009,Kate Crookes
1679,2009,Elinor McKone
1680,2009,Claudia Bonfiglioli
1680,2009,Chiara Finocchiaro
1680,2009,Benno Gesierich
1680,2009,Francesco Rositani
1680,2009,Massimo Vescovi
1681,2009,Quentin J M Huys
1681,2009,Peter Dayan
1682,2009,Wim Notebaert
1682,2009,Femke Houtman
1682,2009,Filip Van Opstal
1682,2009,Wim Gevers
1682,2009,Wim Fias
1682,2009,Tom Verguts
1683,2009,Weimin Mou
1683,2009,Hui Zhang
1683,2009,Timothy P McNamara
1684,2009,Laura E Thomas
1684,2009,Alejandro Lleras
1685,2009,Christel Devue
1685,2009,Stefan Van der Stigchel
1685,2009,Serge Brédart
1685,2009,Jan Theeuwes
1686,2009,Qi Wang
1687,2009,M van Elk
1687,2009,H T van Schie
1687,2009,H Bekkering
1688,2009,Mitsuhiko Ota
1688,2009,Robert J Hartsuiker
1688,2009,Sarah L Haywood
1689,2009,Julien Musolino
1690,2009,David Anaki
1690,2009,Shlomo Bentin
1691,2009,J Allan Cheyne
1691,2009,Grayden J F Solman
1691,2009,Jonathan S A Carriere
1691,2009,Daniel Smilek
1692,2009,Silvia P Gennari
1692,2009,Maryellen C Macdonald
1693,2009,Tessa Warren
1693,2009,Sarah J White
1693,2009,Erik D Reichle
1694,2009,Sarah E Newman-Norlund
1694,2009,Matthijs L Noordzij
1694,2009,Roger D Newman-Norlund
1694,2009,Inge A C Volman
1694,2009,Jan Peter de Ruiter
1694,2009,Peter Hagoort
1694,2009,Ivan Toni
1695,2009,Deborah Kelemen
1695,2009,Evelyn Rosset
1696,2009,Gerry T M Altmann
1696,2009,Yuki Kamide
1697,2009,Jeff Loucks
1697,2009,Dare Baldwin
1698,2009,Anna C Schapiro
1698,2009,James L McClelland
1699,2009,Sonia Kandel
1699,2009,Lucie Hérault
1699,2009,Géraldine Grosjacques
1699,2009,Eric Lambert
1699,2009,Michel Fayol
1700,2009,Guy Dove
1701,2009,Stefan L Frank
1701,2009,Willem F G Haselager
1701,2009,Iris van Rooij
1702,2009,Larissa K Samuelson
1702,2009,Anne R Schutte
1702,2009,Jessica S Horst
1703,2009,Martial Mermillod
1703,2009,Nicolas Vermeulen
1703,2009,Daniel Lundqvist
1703,2009,Paula M Niedenthal
1705,2009,Suzanne Dikker
1705,2009,Hugh Rabagliati
1705,2009,Liina Pylkkänen
1706,2009,Shai Danziger
1706,2009,Robert Rafal
1707,2009,Karin Petrini
1707,2009,Melanie Russell
1707,2009,Frank Pollick
1708,2009,Kai A Krueger
1708,2009,Peter Dayan
1709,2008,Valentijn T Visch
1709,2008,Ed S Tan
1710,2008,Michael C Frank
1710,2008,Edward Vul
1710,2008,Scott P Johnson
1711,2008,Stephen McCullough
1711,2008,Karen Emmorey
1712,2008,Daniel B M Haun
1712,2008,Josep Call
1713,2008,Jennifer E Arnold
1713,2008,Loisa Bennetto
1713,2008,Joshua J Diehl
1714,2008,James W Moore
1714,2008,David Lagnado
1714,2008,Darvany C Deal
1714,2008,Patrick Haggard
1715,2008,Jon Andoni Duñabeitia
1715,2008,Alberto Avilés
1715,2008,Olivia Afonso
1715,2008,Christoph Scheepers
1715,2008,Manuel Carreiras
1716,2008,David W Gow
1716,2008,Jennifer A Segawa
1717,2008,Kate Nation
1717,2008,Joanne Cocksey
1718,2008,Julia Simner
1718,2008,Sarah L Haywood
1719,2008,Margaret A Defeyter
1719,2008,Jill Hearing
1719,2008,Tamsin C German
1720,2008,Tania Lombrozo
1721,2008,Maria-Dolores de Hevia
1721,2008,Elizabeth S Spelke
1722,2008,Wenping You
1722,2008,Baoguo Chen
1722,2008,Susan Dunlap
1723,2008,Kim Verhoef
1723,2008,Ardi Roelofs
1723,2008,Dorothee J Chwilla
1724,2008,Michael Siegal
1724,2008,Laura Iozzi
1724,2008,Luca Surian
1725,2008,John E Marsh
1725,2008,Robert W Hughes
1725,2008,Dylan M Jones
1726,2008,Seth D Pollak
1726,2008,Michael Messner
1726,2008,Doris J Kistler
1726,2008,Jeffrey F Cohn
1727,2008,Jean Vroomen
1727,2008,Martijn Baart
1728,2008,Sukhvinder S Obhi
1728,2008,Peggy J Planetta
1728,2008,Jordan Scantlebury
1729,2008,Gil Diesendruck
1729,2008,Lital Haber
1730,2008,Barbara Tversky
1730,2008,Bridgette Martin Hard
1731,2008,Amanda C Brandone
1731,2008,Susan A Gelman
1732,2008,Atsushi Sato
